Nombre del Pedido: P003, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL011cm8lMjBFTkclMjBGRi5ydnQ=

"EJE/VIGA/LOSA";"ELEM CONST";"PISO";"CICLO";"Cantidad";"Ø mm";"Figura";"L/m";"Uso";"A/cm";"B/cm";"C/cm";"D/cm";"E/cm";"F/cm";"G/cm";"H/cm";"I/cm";"J/cm";"AngV";"AngV2";"AngV3";"R/cm";"Peso Kg";"Id"
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3779
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3780
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3781
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3782
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3783
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3784
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3785
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3786
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3787
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3788
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3789
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3790
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3791
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3792
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3793
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3794
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3795
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3796
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3797
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3798
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3799
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3800
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3801
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3802
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3803
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3804
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3805
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3806
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3807
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3808
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3809
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3810
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3811
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3812
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3813
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3814
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3815
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3816
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3817
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3818
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3819
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3820
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3821
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3822
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3823
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3824
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3825
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3826
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3827
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3828
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3829
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3830
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3831
"";"Level 1";;;;8;;0.288925;;;;;;;;;;;;"";"";"";;0.395;3832
